Price,Next_Close,Close,MA_10,MA_30,Volume,Daily_Range
Ticker,,MSFT,,,MSFT,
Date,,,,,,
2019-02-13,100.20783996582031,100.12348175048828,98.99766235351562,98.06745096842448,18394900,1.003015610584498
2019-02-14,101.44520568847656,100.20783996582031,99.22919921875,98.24805628458658,21784700,1.5279560484916601
2019-02-15,101.39835357666016,101.44520568847656,99.73914413452148,98.58614451090494,26606900,0.8811563476297977
2019-02-19,100.87117004394531,101.39835357666016,99.96693267822266,98.78112386067708,18038500,0.8249149280491253
2019-02-20,102.99873352050781,100.87117004394531,100.00326766967774,98.95446853637695,21607700,1.5533138788570398
2019-02-21,104.46731567382812,102.99873352050781,100.36390914916993,99.17560958862305,29063200,2.457058297741952
2019-02-22,105.05097198486328,104.46731567382812,100.94265441894531,99.3997703552246,27763200,1.2991313608720958
2019-02-25,105.77584838867188,105.05097198486328,101.54226684570312,99.66432164510091,23750600,0.8660875082328658
2019-02-26,105.59698486328125,105.77584838867188,102.25373764038086,99.97803319295248,21536700,1.9487003621834447
2019-02-27,105.46520233154297,105.59698486328125,102.7935905456543,100.3092170715332,21487100,1.3932771207175705
2019-02-28,105.93590545654297,105.46520233154297,103.32776260375977,100.5435188293457,29083900,1.0826059117584919
2019-03-01,105.68171691894531,105.93590545654297,103.90056915283203,100.78194910685221,23501200,1.2708905382773423
2019-03-04,105.15451049804688,105.68171691894531,104.3242202758789,100.98878300984701,26608000,2.3064304205357473
2019-03-05,105.20159912109375,105.15451049804688,104.69983596801758,101.12836252848307,19538300,1.0920216502452291
2019-03-06,103.92131042480469,105.20159912109375,105.13287887573242,101.33294169108073,17687000,1.1579268015546091
2019-03-07,104.03424072265625,103.92131042480469,105.2251365661621,101.46266098022461,25339000,1.5815547983806795
2019-03-08,106.21829986572266,104.03424072265625,105.18182907104492,101.61208038330078,22818400,1.7980724206467897
2019-03-11,106.96202087402344,106.21829986572266,105.29856185913086,101.80399220784506,26491600,1.8545543438746677
2019-03-12,107.79043579101562,106.96202087402344,105.41717910766602,102.08600006103515,26132700,1.2614743249412754
2019-03-13,107.87518310546875,107.79043579101562,105.63652420043945,102.46248982747396,35513800,1.1485105960276059
2019-03-14,109.11782836914062,107.87518310546875,105.87752227783203,102.7343157450358,30763400,0.8190146222775638
2019-03-15,110.6805648803711,109.11782836914062,106.19571456909179,103.10849431355794,54681100,2.5041309109907246
2019-03-18,110.75587463378906,110.6805648803711,106.69559936523437,103.58632125854493,31207600,1.46858391975276
2019-03-19,110.63347625732422,110.75587463378906,107.2557357788086,103.97416814168294,37588700,1.365036320750292
2019-03-20,113.1752700805664,110.63347625732422,107.79892349243164,104.31169001261394,28113300,1.92045949029756
2019-03-21,110.1910171508789,113.1752700805664,108.72431945800781,104.77112172444662,29854400,3.5114301533518955
2019-03-22,110.76528930664062,110.1910171508789,109.33999710083008,105.15482686360677,33624500,2.400568833783339
2019-03-25,111.00064086914062,110.76528930664062,109.79469604492188,105.54517491658528,27067100,1.5909706231938117
2019-03-26,109.92742156982422,111.00064086914062,110.1985580444336,105.9564915974935,26097700,1.7510071525200317
2019-03-27,110.07807159423828,109.92742156982422,110.41225662231446,106.28079045613607,22733400,2.5323716785246546
2019-03-28,111.02890014648438,110.07807159423828,110.6325454711914,106.6126101175944,18334800,1.365036408898419
2019-03-29,112.04556274414062,111.02890014648438,110.82365264892579,106.97331212361654,25399800,1.2803066715290186
2019-04-01,112.20561218261719,112.04556274414062,110.96015243530273,107.32665735880533,22789100,0.950817181301943
2019-04-02,112.93992614746094,112.20561218261719,111.10512619018554,107.68689931233725,18142300,0.9037514793394337
2019-04-03,112.36565399169922,112.93992614746094,111.33577117919921,108.08919118245443,22860700,1.2049926325889118
2019-04-04,112.8646011352539,112.36565399169922,111.2548095703125,108.40142186482747,20112800,1.741598061722371
2019-04-05,112.90227508544922,112.8646011352539,111.52216796875,108.68133138020833,15826200,0.8096056915301375
2019-04-08,112.29035949707031,112.90227508544922,111.73586654663086,108.9430414835612,15116200,1.299131402702372
2019-04-09,113.14703369140625,112.29035949707031,111.86483840942383,109.16019185384114,17612000,0.9037444954350775
2019-04-10,113.27882385253906,113.14703369140625,112.18679962158203,109.41186014811198,16477200,0.7625328162951348
2019-04-11,113.86248016357422,113.27882385253906,112.5068748474121,109.67231419881185,14209100,0.8755035248875629
2019-04-12,113.9566421508789,113.86248016357422,112.7902328491211,109.9365333557129,19745100,0.5742553464110074
2019-04-15,113.69303894042969,113.9566421508789,112.98134078979493,110.21236419677734,15792600,0.9508174234479441
